Rk,Player,Tm,Season PPG,Last 5 PPG,Last 10 PPG,Opp DR,Season MP,Projected MP Today,Today's Points,,,,,,,,,,,,,,,,,,,
460,Joshua Primo,SAS,5.8,8.4,8.1,109.1,19.3,19.3,4,,,,,,,,,,,,,,,,,,,
545,Juan Toscano-Anderson,GSW,4.1,4,2.3,112,13.6,13.6,8,,,,,,,,,,,,,,,,,,,
234,Juancho Hernangómez,UTA,3.3,8.8,8.7,116.3,11.1,23.7,22,,,,,,,,,,,,,,,,,,,
246,Justin Holiday,SAC,10.1,8,6.9,106.8,27.8,27.8,19,,,,,,,,,,,,,,,,,,,
37,Keita Bates-Diop,SAS,5.7,10.2,8,109.1,16.2,16.2,8,,,,,,,,,,,,,,,,,,,
286,Keldon Johnson,SAS,17,23,22.7,109.1,31.9,31.9,24,,,,,,,,,,,,,,,,,,,
53,Keljin Blevins,POR,3.1,2.6,4.6,110,11.3,11.3,5,,,,,,,,,,,,,,,,,,,
432,Kelly Oubre Jr.,CHA,15,11.4,10.1,113.6,26.3,26.3,6,,,,,,,,,,,,,,,,,,,
354,Kenyon Martin Jr.,HOU,8.8,7.4,8.4,113.7,21,21,11,,,,,,,,,,,,,,,,,,,
287,Keon Johnson,POR,7.2,12.2,12.9,110,18.8,18.8,8,,,,,,,,,,,,,,,,,,,
158,Kessler Edwards,BRK,5.9,7.6,5.2,115.5,20.6,20.6,10,,,,,,,,,,,,,,,,,,,
154,Kevin Durant,BRK,29.9,32.2,31.3,115.5,37.2,37.2,20,,,,,,,,,,,,,,,,,,,
255,Kevin Huerter,ATL,12.1,11.4,15,116.4,29.6,29.6,11,,,,,,,,,,,,,,,,,,,
339,Kevin Love,CLE,13.6,17.2,13.8,111.1,22.5,23.5,32,,,,,,,,,,,,,,,,,,,
451,Kevin Porter Jr.,HOU,15.6,29,23.5,113.7,31.3,31.3,26,,,,,,,,,,,,,,,,,,,
335,Kevon Looney,GSW,6,3.2,3.8,112,21.1,21.1,4,,,,,,,,,,,,,,,,,,,
48,Khem Birch,TOR,4.5,3.8,3.2,110.2,18,18,4,,,,,,,,,,,,,,,,,,,
231,Killian Hayes,DET,6.9,12.2,11.3,110.2,25,25,8,,,,,,,,,,,,,,,,,,,
537,Klay Thompson,GSW,20.4,36.7,30.8,112,29.4,29.4,41,,,,,,,,,,,,,,,,,,,
266,Kyrie Irving,BRK,27.4,30,26.9,115.5,37.6,37.6,35,,,,,,,,,,,,,,,,,,,
519,Lamar Stevens,CLE,6.1,0,0,111.1,16.1,16.1,8,,,,,,,,,,,,,,,,,,,
25,LaMelo Ball,CHA,20.1,21,23.3,113.6,32.3,32.3,24,,,,,,,,,,,,,,,,,,,
518,Lance Stephenson,IND,8.3,8.4,10.3,112.3,17.7,17.7,10,,,,,,,,,,,,,,,,,,,
499,Landry Shamet,PHO,8.3,10.8,10.2,114.8,20.8,29,27,,,,,,,,,,,,,,,,,,,
404,Larry Nance Jr.,NOP,7,8.2,7.3,106.6,22.6,22.6,7,,,,,,,,,,,,,,,,,,,
349,Lauri Markkanen,CLE,14.8,18.2,16.6,111.1,30.8,31.4,23,,,,,,,,,,,,,,,,,,,
583,Lindell Wigginton,MIL,4.2,10,8.3,108.9,10.5,10.5,18,,,,,,,,,,,,,,,,,,,
141,Luka Dončić,DAL,28.4,31.8,31.6,111.7,35.4,35.4,26,,,,,,,,,,,,,,,,,,,
187,Luka Garza,DET,5.8,20,20,110.2,12.2,12.2,20,,,,,,,,,,,,,,,,,,,
304,Luke Kennard,LAC,11.9,16.8,13.6,111.7,27.4,27.3,20,,,,,,,,,,,,,,,,,,,
170,Malachi Flynn,TOR,4.3,4,4,110.2,12.2,22.5,10,,,,,,,,,,,,,,,,,,,
240,Malcolm Hill,CHI,3.8,1,1,111,11.2,11.2,2,,,,,,,,,,,,,,,,,,,
42,Malik Beasley,MIN,12.1,12,10.5,113.2,25,25,8,,,,,,,,,,,,,,,,,,,
385,Malik Monk,LAL,13.8,19,19.6,111.5,28.1,30,41,,,,,,,,,,,,,,,,,,,
509,Marcus Smart,BOS,12.1,12.2,12.3,108.9,32.3,32.3,4,,,,,,,,,,,,,,,,,,,
179,Markelle Fultz,ORL,10.8,12.2,12.8,108.4,20,25.7,10,,,,,,,,,,,,,,,,,,,
103,Marquese Chriss,DAL,4.5,5.5,3,111.7,10.2,10.2,6,,,,,,,,,,,,,,,,,,,
446,Mason Plumlee,CHA,6.5,7,6.1,113.6,24.6,24.6,8,,,,,,,,,,,,,,,,,,,
540,Matisse Thybulle,PHI,5.7,3.3,5.2,113.3,25.5,25.5,7,,,,,,,,,,,,,,,,,,,
113,Mike Conley,UTA,13.7,16.5,15.2,116.3,28.6,28.6,14,,,,,,,,,,,,,,,,,,,
67,Miles Bridges,CHA,20.2,18.2,21.4,113.6,35.5,35.5,9,,,,,,,,,,,,,,,,,,,
27,Mo Bamba,ORL,10.6,14.4,12.9,108.4,25.7,24.7,21,,,,,,,,,,,,,,,,,,,
221,Montrezl Harrell,CHA,13.1,10.5,8.3,113.6,23.1,23.1,8,,,,,,,,,,,,,,,,,,,
560,Moritz Wagner,ORL,9,14.4,11.3,108.4,15.2,15.2,14,,,,,,,,,,,,,,,,,,,
387,Moses Moody,GSW,4.4,3.7,4.8,112,11.7,11.7,5,,,,,,,,,,,,,,,,,,,
397,Mychal Mulder,MIA,4.1,7,7,112.1,14.1,14.1,11,,,,,,,,,,,,,,,,,,,
350,Naji Marshall,NOP,5.7,7.4,6.4,106.6,13.4,18.7,19,,,,,,,,,,,,,,,,,,,
472,Naz Reid,MIN,8.3,7.2,7,113.2,15.8,25,14,,,,,,,,,,,,,,,,,,,
51,Nemanja Bjelica,GSW,6.1,9.4,8.3,112,16.1,16.1,4,,,,,,,,,,,,,,,,,,,
108,Nic Claxton,BRK,8.7,7.8,8.7,115.5,20.7,20.7,14,,,,,,,,,,,,,,,,,,,
6,Nickeil Alexander-Walker,UTA,10.6,6,3,116.3,22.6,17.5,3,,,,,,,,,,,,,,,,,,,
544,Obi Toppin,NYK,9,27.2,20,109.9,17.1,35,42,,,,,,,,,,,,,,,,,,,
16,OG Anunoby,TOR,17.1,8,14.7,110.2,36,36,8,,,,,,,,,,,,,,,,,,,
603,Omer Yurtseven,MIA,5.3,4.5,3.3,112.1,12.6,21.1,7,,,,,,,,,,,,,,,,,,,
422,Onyeka Okongwu,ATL,8.2,5.6,6.4,116.4,20.7,20.7,8,,,,,,,,,,,,,,,,,,,
68,Oshae Brissett,IND,9.1,17.8,16.6,112.3,23.3,23.3,28,,,,,,,,,,,,,,,,,,,
569,P.J. Washington,CHA,10.3,10.6,10.8,113.6,27.2,27.2,9,,,,,,,,,,,,,,,,,,,
46,Patrick Beverley,MIN,9.2,7.3,8.3,113.2,25.4,25.3,5,,,,,,,,,,,,,,,,,,,
588,Patrick Williams,CHI,9,17,10.7,111,24.8,29.3,35,,,,,,,,,,,,,,,,,,,
379,Patty Mills,BRK,11.4,7.4,5.4,115.5,29,29,8,,,,,,,,,,,,,,,,,,,
462,Payton Pritchard,BOS,6.2,10.6,10.6,108.9,14.1,14.1,12,,,,,,,,,,,,,,,,,,,
1,Precious Achiuwa,TOR,9.1,10.2,11,110.2,23.6,23.6,9,,,,,,,,,,,,,,,,,,,
216,R.J. Hampton,ORL,7.6,11.8,9.8,108.4,21.9,21.9,21,,,,,,,,,,,,,,,,,,,
481,Rajon Rondo,CLE,4.8,3.8,3.8,111.1,17.9,17.9,6,,,,,,,,,,,,,,,,,,,
407,Raul Neto,WAS,7.5,7.5,4.3,113.1,19.6,19.6,9,,,,,,,,,,,,,,,,,,,
83,Reggie Bullock,DAL,8.6,8.4,9.8,111.7,28,28,4,,,,,,,,,,,,,,,,,,,
443,Reggie Perry,POR,9.2,10.6,11.3,110,18.7,21,20,,,,,,,,,,,,,,,,,,,
119,Robert Covington,LAC,8.5,15.8,13.4,111.7,27.3,27.3,9,,,,,,,,,,,,,,,,,,,
337,Robin Lopez,ORL,7.1,5.4,5,108.4,17,20.1,4,,,,,,,,,,,,,,,,,,,
248,Rodney Hood,LAC,3.1,3.3,3.5,111.7,13.6,14.1,5,,,,,,,,,,,,,,,,,,,
369,Rodney McGruder,DET,5.4,14.7,9,110.2,14.8,15.4,5,,,,,,,,,,,,,,,,,,,
418,Royce O'Neale,UTA,7.4,3.5,4.3,116.3,31.2,31.2,5,,,,,,,,,,,,,,,,,,,
188,Rudy Gay,UTA,8.1,7.3,7.7,116.3,18.9,20.1,8,,,,,,,,,,,,,,,,,,,
195,Rudy Gobert,UTA,15.6,18,16.6,116.3,32.1,32.1,18,,,,,,,,,,,,,,,,,,,
213,Rui Hachimura,WAS,11.3,14.4,14.8,113.1,22.5,27.9,21,,,,,,,,,,,,,,,,,,,
327,Saben Lee,DET,5.6,11,11,110.2,16.3,15,11,,,,,,,,,,,,,,,,,,,
